,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
195,5409,2218,951118,182040,60,3034,1,2686,OWNER,monthly issuance,941121,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,47,True,510324,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
196,6955,9627,951122,244368,48,5091,1,11543,OWNER,issuance after transaction,940722,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,28,False,700402,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
197,6985,9731,951122,113796,36,3161,1,11670,OWNER,issuance after transaction,941201,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,27,False,711009,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
198,5125,789,951123,73056,48,1522,1,944,OWNER,monthly issuance,950206,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,28,False,701218,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
199,5805,4081,951128,137904,24,5746,-1,4918,OWNER,monthly issuance,950722,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,30,False,680506,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
200,6185,5774,951128,31176,24,1299,1,6987,OWNER,monthly issuance,950608,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30,False,680129,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
201,7243,11042,951204,217152,36,6032,1,13268,OWNER,monthly issuance,950129,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,24,False,740707,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
202,6403,6924,951205,194880,48,4060,1,8359,OWNER,monthly issuance,940601,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,19,False,791206,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
203,6578,7765,951211,27984,12,2332,1,9298,OWNER,weekly issuance,940710,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,49,False,490216,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
204,5413,2227,951212,92976,24,3874,1,2698,OWNER,weekly issuance,940522,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,28,True,701007,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
205,6949,9583,951212,104712,24,4363,1,11486,OWNER,weekly issuance,940522,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,28,True,701007,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
206,6545,7606,951212,191880,60,3198,1,9109,OWNER,monthly issuance,950315,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,49,False,490308,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
207,6178,5742,951216,232560,48,4845,1,6946,OWNER,issuance after transaction,950705,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,28,True,700129,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
208,5160,1011,951218,204000,60,3400,1,1215,OWNER,monthly issuance,941217,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,54,False,440506,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
209,6785,8899,951225,125340,60,2089,1,10655,OWNER,weekly issuance,940905,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54,False,440615,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
210,6540,7562,951231,309600,48,6450,1,9058,OWNER,weekly issuance,950117,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,23,False,750626,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
211,6589,7815,960101,189696,24,7904,1,9355,OWNER,weekly issuance,950409,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,53,False,450924,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
212,5900,4503,960101,135360,48,2820,1,5433,OWNER,monthly issuance,950103,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,23,False,750924,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
213,5999,4907,960103,98832,48,2059,1,5928,OWNER,monthly issuance,940206,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,28,True,700910,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
214,6043,5126,960111,20352,48,424,1,6185,OWNER,monthly issuance,950403,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,50,True,480305,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
215,5482,2496,960112,165120,60,2752,1,3013,OWNER,monthly issuance,940521,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,48,True,500318,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
216,7263,11138,960119,89880,24,3745,1,13382,OWNER,weekly issuance,950818,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,35,False,630516,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
217,6013,4995,960203,128988,36,3583,-1,6034,OWNER,weekly issuance,940801,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,59,False,390815,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
218,5750,3804,960208,63252,12,5271,1,4584,OWNER,monthly issuance,940407,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,49,True,490624,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
219,6027,5066,960210,61656,24,2569,-1,6115,OWNER,weekly issuance,950827,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,45,True,531225,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
220,6303,6400,960212,72408,24,3017,-1,7727,OWNER,issuance after transaction,951009,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,40,True,580613,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
221,7213,10884,960213,113544,36,3154,1,13072,OWNER,monthly issuance,950220,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,56,False,420918,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
222,6659,8092,960220,56100,60,935,1,9687,OWNER,monthly issuance,950111,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,40,False,580707,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
223,6175,5735,960221,290700,60,4845,-1,6936,OWNER,monthly issuance,950125,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,39,True,590227,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
224,5610,3112,960224,123216,48,2567,1,3763,OWNER,monthly issuance,940812,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,21,True,770812,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
225,5563,2912,960229,380160,60,6336,1,3519,OWNER,monthly issuance,940730,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,49,False,491215,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
226,5989,4852,960304,213300,36,5925,1,5860,OWNER,monthly issuance,950413,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,34,False,640422,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
227,6698,8327,960310,247728,48,5161,1,9974,OWNER,weekly issuance,950808,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,19,False,790619,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
228,5312,1772,960313,202788,36,5633,1,2148,OWNER,weekly issuance,950220,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,45,True,530720,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
229,7189,10728,960321,154656,48,3222,1,12882,OWNER,monthly issuance,941223,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,42,False,561128,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
230,6816,9017,960326,100224,48,2088,-1,10797,OWNER,monthly issuance,951122,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,41,True,570201,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
231,6137,5574,960410,44628,12,3719,1,6731,OWNER,weekly issuance,940714,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,55,False,431126,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
232,5128,808,960411,215616,48,4492,-1,968,OWNER,monthly issuance,950613,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,41,False,570217,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
233,5470,2456,960415,200976,48,4187,1,2966,OWNER,monthly issuance,950909,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,43,False,550220,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
234,5593,3037,960418,277884,36,7719,-1,3670,OWNER,monthly issuance,940526,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,18,True,800917,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
235,5350,1967,960421,249312,48,5194,1,2392,OWNER,weekly issuance,950213,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,43,False,550521,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
236,6063,5213,960425,320976,48,6687,-1,6299,OWNER,monthly issuance,950818,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,62,False,360809,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
237,6501,7418,960429,30276,12,2523,-1,8888,OWNER,monthly issuance,950407,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
238,5452,2352,960429,49440,60,824,1,2843,OWNER,monthly issuance,950121,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,32,True,661006,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
239,4961,19,960429,30276,12,2523,-1,25,OWNER,monthly issuance,950407,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
240,4973,67,960502,165960,24,6915,1,78,OWNER,monthly issuance,941019,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,54,True,440613,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
241,6190,5794,960506,123600,60,2060,1,7010,OWNER,monthly issuance,950714,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,31,False,670630,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
242,6715,8411,960506,220620,60,3677,1,10081,OWNER,monthly issuance,941202,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,55,True,430815,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
243,5892,4462,960514,66480,24,2770,-1,5384,OWNER,weekly issuance,951227,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,63,False,350721,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
244,6550,7614,960518,320592,48,6679,1,9119,OWNER,monthly issuance,950208,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,28,True,701109,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
245,5706,3608,960524,161496,36,4486,1,4352,OWNER,weekly issuance,940830,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,27,False,710724,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
246,5148,940,960529,284280,60,4738,1,1133,OWNER,monthly issuance,941115,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,40,True,580915,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
247,6734,8547,960530,173016,36,4806,1,10235,OWNER,weekly issuance,950717,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,53,True,450223,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
248,6109,5422,960603,368880,60,6148,1,6544,OWNER,monthly issuance,941022,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,24,False,740804,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
249,6961,9645,960606,176148,36,4893,1,11565,OWNER,monthly issuance,960123,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,35,True,631120,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
250,6810,9006,960608,186384,48,3883,1,10785,OWNER,weekly issuance,940902,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,39,False,590129,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
251,5494,2572,960613,360000,48,7500,1,3103,OWNER,issuance after transaction,941113,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,25,True,730307,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
252,5311,1766,960615,30060,60,501,1,2141,OWNER,monthly issuance,940903,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,47,False,510906,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
253,5445,2322,960629,46320,24,1930,1,2809,OWNER,monthly issuance,950102,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,19,False,790214,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
254,5301,1698,960706,141948,36,3943,1,2063,OWNER,monthly issuance,960314,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,48,True,500926,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
255,7034,10001,960711,19044,36,529,1,11995,OWNER,monthly issuance,950528,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,24,True,740405,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
256,6751,8680,960714,85716,36,2381,1,10394,OWNER,monthly issuance,960212,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,60,False,380503,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
257,6667,8127,960715,155880,24,6495,1,9732,OWNER,monthly issuance,941013,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,30,True,681030,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
258,6130,5541,960718,32640,48,680,1,6691,OWNER,monthly issuance,950324,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,56,False,421015,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
259,5429,2268,960718,20196,36,561,1,2746,OWNER,monthly issuance,950211,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,27,False,710225,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
260,5725,3679,960723,444864,48,9268,1,4434,OWNER,monthly issuance,950815,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,34,False,640329,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
261,6019,5033,960725,11400,12,950,1,6077,OWNER,monthly issuance,950803,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,18,True,800430,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
262,6421,6985,960725,96768,36,2688,1,8432,OWNER,monthly issuance,950727,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,30,True,680106,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
263,6992,9790,960727,133968,48,2791,1,11742,OWNER,monthly issuance,951109,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,55,False,430530,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
264,5136,846,960728,187104,24,7796,1,1020,OWNER,monthly issuance,960309,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,21,True,770510,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
265,5337,1886,960731,162468,36,4513,1,2288,OWNER,monthly issuance,960305,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,41,True,570823,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
266,5495,2580,960802,89340,60,1489,1,3113,OWNER,monthly issuance,951109,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,27,True,711112,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
267,7013,9928,960802,89340,60,1489,1,11912,OWNER,monthly issuance,951109,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,27,True,711112,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
268,6012,4994,960803,258444,36,7179,1,6033,OWNER,weekly issuance,960111,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,32,False,660527,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
269,6471,7184,960804,155640,24,6485,1,8670,OWNER,monthly issuance,950619,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,55,True,430107,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
270,6296,6358,960806,270384,48,5633,1,7678,OWNER,monthly issuance,950527,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,36,False,620407,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
271,7305,11359,960806,54024,12,4502,1,13660,OWNER,monthly issuance,941001,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,30,False,680413,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
272,6144,5593,960809,44376,12,3698,1,6753,OWNER,monthly issuance,960227,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,36,False,620523,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
273,6283,6289,960811,85632,48,1784,1,7594,OWNER,monthly issuance,950405,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,49,True,490407,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
274,7246,11054,960820,148920,60,2482,1,13282,OWNER,weekly issuance,960201,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,21,False,770803,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
275,5088,544,960822,91152,24,3798,1,655,OWNER,monthly issuance,950515,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,56,False,421210,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
276,5988,4851,960822,141648,24,5902,1,5858,OWNER,monthly issuance,960204,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,46,False,520717,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
277,5282,1583,960824,388512,48,8094,-1,1917,OWNER,issuance after transaction,941117,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,29,True,690313,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
278,5938,4650,960825,402000,60,6700,1,5606,OWNER,monthly issuance,951015,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,18,False,800806,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
279,5606,3084,960828,253512,36,7042,-1,3730,OWNER,weekly issuance,960128,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,53,True,450807,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
280,5385,2143,960909,71460,36,1985,1,2592,OWNER,monthly issuance,960113,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,True,800831,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
281,6865,9199,960911,29448,12,2454,-1,11019,OWNER,monthly issuance,960515,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,51,False,471021,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
282,5586,2994,960914,48744,36,1354,1,3616,OWNER,monthly issuance,960503,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,34,True,640414,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
283,6302,6397,960916,181020,60,3017,1,7723,OWNER,monthly issuance,950315,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,32,True,660614,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
284,7194,10762,960917,68832,36,1912,1,12923,OWNER,monthly issuance,951023,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,39,False,590701,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
285,6461,7136,960919,74124,36,2059,1,8615,OWNER,weekly issuance,950409,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,59,True,390413,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
286,6732,8533,960919,174048,48,3626,1,10220,OWNER,monthly issuance,951010,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,46,True,520216,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
287,6613,7926,960922,84120,24,3505,1,9490,OWNER,weekly issuance,960609,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,48,True,500302,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
288,7036,10019,960925,194940,36,5415,1,12017,OWNER,monthly issuance,950615,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,34,False,641030,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
289,5897,4476,960925,15192,24,633,1,5399,OWNER,monthly issuance,941110,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,26,True,721227,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
290,6995,9814,960926,96168,12,8014,1,11771,OWNER,weekly issuance,950119,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,26,True,720812,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
291,5415,2236,960926,139464,36,3874,-1,2708,OWNER,monthly issuance,950827,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,40,False,580812,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
292,7136,10436,960928,54396,36,1511,1,12532,OWNER,monthly issuance,960321,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,59,False,390727,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
293,7271,11186,961002,392460,60,6541,1,13442,OWNER,monthly issuance,941124,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,18,True,801113,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
294,5375,2106,961003,101520,12,8460,1,2550,OWNER,monthly issuance,960201,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,True,761012,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
