,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
2694,2849,2357,OWNER,monthly issuance,930104,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,70,False,280402,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
2695,2850,2358,OWNER,monthly issuance,950913,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,28,False,700820,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
2696,2851,2359,OWNER,monthly issuance,960714,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,59,False,390810,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
2697,2852,2360,OWNER,monthly issuance,960827,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,56,True,420628,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
2698,2853,2361,OWNER,monthly issuance,940225,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,42,True,560425,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
2699,2854,2362,OWNER,monthly issuance,961230,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,49,False,490601,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
2701,2856,2363,OWNER,monthly issuance,941007,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,75,False,231111,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
2702,2857,2364,OWNER,monthly issuance,950503,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,71,False,270203,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
2703,2858,2365,OWNER,monthly issuance,941104,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,72,True,260212,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
2704,2859,2366,OWNER,monthly issuance,970520,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,70,True,280924,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
2705,2860,2367,OWNER,monthly issuance,950304,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,40,False,580331,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
2706,2862,2369,OWNER,monthly issuance,970719,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,34,True,641007,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
2708,2864,2370,OWNER,monthly issuance,971001,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,46,True,520409,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
2709,2865,2371,OWNER,weekly issuance,971023,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,50,False,481118,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
2711,2867,2372,OWNER,monthly issuance,970615,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,38,True,600123,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2712,2868,2373,OWNER,monthly issuance,960929,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,65,False,331214,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
2713,2869,2374,OWNER,monthly issuance,951207,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,23,False,750805,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2714,2870,2375,OWNER,monthly issuance,940516,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,39,False,591128,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
2715,2871,2376,OWNER,monthly issuance,961214,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,31,True,671123,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
2716,2872,2377,OWNER,monthly issuance,941113,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,65,True,331027,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
2717,2873,2378,OWNER,monthly issuance,930101,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,23,True,750324,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
2718,2874,2379,OWNER,monthly issuance,930110,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,26,False,720910,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190
2719,2875,2380,OWNER,monthly issuance,970227,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,62,False,360817,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
2720,2876,2381,OWNER,monthly issuance,970213,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,False,770107,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2721,2877,2382,OWNER,monthly issuance,940308,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,66,False,320429,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
2722,2878,2383,OWNER,monthly issuance,960805,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,51,False,470417,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
2723,2879,2384,OWNER,monthly issuance,941223,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,21,False,770110,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
2724,2880,2385,OWNER,monthly issuance,961115,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,46,False,521230,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
2725,2881,2386,OWNER,monthly issuance,961217,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,31,True,670321,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
2726,2882,2387,OWNER,monthly issuance,960622,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,67,False,311214,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
2727,2883,2388,OWNER,monthly issuance,930609,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,45,False,530226,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
2728,2884,2389,OWNER,monthly issuance,960602,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,40,True,581010,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
2729,2885,2390,OWNER,monthly issuance,960212,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,33,True,651004,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2731,2887,2391,OWNER,monthly issuance,971107,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,37,True,610129,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
2732,2888,2392,OWNER,monthly issuance,970518,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,True,780909,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2733,2889,2393,OWNER,monthly issuance,930107,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,55,False,431205,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
2734,2890,2394,OWNER,monthly issuance,970823,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,47,False,511011,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
2736,2892,2395,OWNER,monthly issuance,960624,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,57,True,410321,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
2737,2893,2396,OWNER,monthly issuance,930222,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,71,True,271102,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
2738,2894,2397,OWNER,monthly issuance,960614,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,50,True,480725,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
2739,2895,2398,OWNER,monthly issuance,961125,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,21,True,770517,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
2740,2896,2399,OWNER,monthly issuance,940426,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,23,True,750516,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2741,2897,2400,OWNER,monthly issuance,960615,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,73,False,250718,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
2743,2899,2401,OWNER,monthly issuance,940826,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,80,False,180518,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
2744,2900,2402,OWNER,monthly issuance,971106,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,75,False,230322,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
2745,2901,2403,OWNER,monthly issuance,960220,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,59,True,390109,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
2746,2902,2404,OWNER,monthly issuance,970605,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,39,True,590703,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
2748,2904,2405,OWNER,monthly issuance,970227,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,52,True,460518,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
2750,2906,2406,OWNER,monthly issuance,960322,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,64,False,341216,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
2752,2908,2407,OWNER,monthly issuance,960721,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,27,False,710228,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2753,2909,2408,OWNER,monthly issuance,961227,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,62,False,361009,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
2754,2910,2409,OWNER,monthly issuance,960213,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,62,False,360928,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
2755,2911,2410,OWNER,monthly issuance,930511,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,66,False,320925,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
2757,2913,2411,OWNER,monthly issuance,930627,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,36,False,621227,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
2758,2915,2413,OWNER,monthly issuance,971027,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,44,True,540222,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
2759,2916,2414,OWNER,monthly issuance,950119,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,False,720930,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2760,2917,2415,OWNER,monthly issuance,970227,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,58,False,400118,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
2761,2918,2416,OWNER,monthly issuance,960123,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,31,False,670521,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
2763,2920,2417,OWNER,monthly issuance,930820,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,36,True,620623,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
2764,2921,2418,OWNER,monthly issuance,961029,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,22,True,761220,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
2765,2922,2419,OWNER,monthly issuance,931127,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,58,False,400907,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
2766,2923,2420,OWNER,monthly issuance,960625,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,21,True,770321,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
2767,2924,2421,OWNER,monthly issuance,950111,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,57,True,410206,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
2769,2926,2422,OWNER,monthly issuance,970829,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,64,False,340211,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
2771,2928,2423,OWNER,monthly issuance,930214,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,66,False,320302,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
2772,2929,2424,OWNER,monthly issuance,951013,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,40,False,580310,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2773,2930,2425,OWNER,monthly issuance,930123,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,57,False,410322,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
2774,2932,2427,OWNER,weekly issuance,931008,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,58,True,400711,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2775,2933,2428,OWNER,monthly issuance,930908,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,56,False,421212,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
2777,2935,2429,OWNER,monthly issuance,930206,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,54,True,440502,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
2778,2936,2430,OWNER,monthly issuance,941009,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,53,True,450311,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
2779,2937,2431,OWNER,monthly issuance,950223,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,49,False,490701,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
2780,2938,2432,OWNER,monthly issuance,960418,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,77,True,210601,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
2781,2939,2433,OWNER,monthly issuance,930219,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,80,False,180213,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
2782,2940,2434,OWNER,monthly issuance,930202,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,33,False,651016,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2783,2941,2435,OWNER,monthly issuance,931101,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,47,False,510312,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
2784,2942,2436,OWNER,monthly issuance,930525,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,32,True,660603,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
2785,2943,2437,OWNER,monthly issuance,951204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,True,800628,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2786,2944,2438,OWNER,monthly issuance,971116,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,55,True,430823,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
2787,2945,2439,OWNER,monthly issuance,960813,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,77,False,210602,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
2789,2947,2440,OWNER,monthly issuance,971218,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,41,True,570518,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
2790,2948,2441,OWNER,monthly issuance,961222,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,20,False,781120,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
2791,2949,2442,OWNER,monthly issuance,970821,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,55,False,430925,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
2792,2950,2443,OWNER,monthly issuance,970625,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,54,False,440606,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
2793,2951,2444,OWNER,monthly issuance,970907,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,48,True,500831,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
2794,2952,2445,OWNER,monthly issuance,960707,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,20,True,780117,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
2795,2953,2446,OWNER,monthly issuance,950116,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,62,False,360707,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
2796,2954,2447,OWNER,monthly issuance,970714,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,39,True,590812,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
2798,2956,2448,OWNER,monthly issuance,970511,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,59,False,390806,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
2799,2957,2449,OWNER,monthly issuance,970805,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,20,False,780307,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
2800,2958,2450,OWNER,monthly issuance,960410,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,23,False,750507,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
2801,2959,2451,OWNER,monthly issuance,970429,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,41,False,571119,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
2802,2960,2452,OWNER,monthly issuance,970714,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,70,False,281219,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2804,2962,2453,OWNER,monthly issuance,930308,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,60,False,381110,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2806,2964,2454,OWNER,monthly issuance,940507,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,20,False,781127,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
2807,2965,2455,OWNER,monthly issuance,970206,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,80,True,180207,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
2808,2966,2456,OWNER,monthly issuance,950909,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,43,False,550220,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
2809,2967,2457,OWNER,monthly issuance,931111,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,37,True,610115,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
2810,2968,2458,OWNER,weekly issuance,930314,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,36,False,620824,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
2811,2969,2459,OWNER,monthly issuance,970910,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,75,False,230422,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
2813,2971,2460,OWNER,monthly issuance,931122,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,True,771203,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2814,2972,2461,OWNER,monthly issuance,970928,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,False,760114,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2815,2974,2463,OWNER,monthly issuance,941011,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,47,True,510712,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
2816,2975,2464,OWNER,issuance after transaction,930702,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,55,True,430318,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
2817,2976,2465,OWNER,monthly issuance,961006,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,76,True,220803,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
2818,2977,2466,OWNER,monthly issuance,970411,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,35,False,630206,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
2819,2978,2467,OWNER,monthly issuance,930529,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,50,True,480305,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
2820,2979,2468,OWNER,monthly issuance,960713,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,37,True,611222,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
2821,2980,2469,OWNER,monthly issuance,960205,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,24,False,740614,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
2822,2981,2470,OWNER,monthly issuance,940723,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,49,True,490205,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
2823,2982,2471,OWNER,monthly issuance,940703,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,25,True,730323,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
2825,2984,2472,OWNER,monthly issuance,940208,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,35,True,630524,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
